id,name,amenity,lon,lat,fog_pct_4pm,fog_pct_12pm,fog_pct_10am
node/2963068433,The Buccaneer,pub,-122.422051,37.7966476,0.25,0.44,0.61
node/3018753922,Amélie,bar,-122.421082,37.7931005,0.25,0.44,0.61
node/3455071284,Woods Polk Station,pub,-122.4222726,37.7976947,0.25,0.44,0.61
node/3611822692,Route 101,bar,-122.421632,37.7881229,0.25,0.44,0.61
node/4024246508,The Cinch Saloon,bar,-122.4212524,37.7927364,0.25,0.44,0.61
node/4086989798,Cresta's,pub,-122.4221708,37.7971395,0.25,0.44,0.61
node/4613888431,Black Magic Voodoo Lounge,bar,-122.4248369,37.8014288,0.25,0.42,0.64
node/4631842574,Green Sports Bar,bar,-122.4222394,37.7975872,0.25,0.44,0.61
node/4927522422,Bell Tower,bar,-122.4212799,37.7943038,0.25,0.44,0.61
node/6210959985,Kozy Kar,bar,-122.4207198,37.791365,0.25,0.44,0.61
node/10128454136,Ora Wine Bar,bar,-122.4209223,37.7909836,0.25,0.44,0.61
node/12247275391,The Comet Club,bar,-122.4358728,37.7982107,0.25,0.46,0.65
way/271460262,Tikal Bar,bar,-122.4222635,37.7415466,0.23,0.41,0.65
way/272564476,Lucky Horseshoe,bar,-122.4167805,37.7392653,0.23,0.41,0.65
node/388205890,Buena Vista,pub,-122.4207744,37.8065169,0.23,0.44,0.61
node/1914749996,Holy Water,bar,-122.4182852,37.7393085,0.23,0.41,0.65
node/2317662705,El Rio,bar,-122.4193292,37.7467497,0.23,0.41,0.65
node/2627676156,Royal Cuckoo,bar,-122.4202055,37.7453905,0.23,0.41,0.65
node/3214153061,Wild Side West,bar,-122.4171535,37.7390299,0.23,0.41,0.65
node/3441484302,Rock Bar,bar,-122.4220729,37.7440923,0.23,0.41,0.65
node/4114603089,Mothership,bar,-122.4192506,37.7468805,0.23,0.41,0.65
node/4139840856,Fat Cat x The Mantis,bar,-122.4199359,37.7452716,0.23,0.41,0.65
node/4139840857,The Knockout,bar,-122.4199903,37.7451841,0.23,0.41,0.65
node/9507011270,San Francisco Brewing Co.,pub,-122.4232131,37.80564,0.23,0.44,0.61
node/9877596391,Winery Collective,bar,-122.4203304,37.8075245,0.23,0.44,0.61
node/13715184385,Cellarmaker,pub,-122.4196363,37.7457503,0.23,0.41,0.65
node/1616322287,Club Mari's / Mogura,bar,-122.4321864,37.7851137,0.22,0.41,0.6
node/6314144277,Fillmore Billiards,pub,-122.4326455,37.7837256,0.22,0.41,0.6
node/9200292442,Festa Wine & Cocktail Lounge,bar,-122.4316091,37.7851784,0.22,0.41,0.6
node/9845699052,The Social Study,bar,-122.4325036,37.7841757,0.22,0.41,0.6
node/731989581,The Outsider,pub,-122.4179928,37.78623,0.21,0.33,0.58
node/731989588,Ha-Ra,pub,-122.4176448,37.7860732,0.21,0.33,0.58
node/732005635,Hanaro,pub,-122.4189262,37.7859078,0.21,0.33,0.58
node/1493456455,The Function,bar,-122.4181966,37.7762746,0.21,0.33,0.58
node/2259028667,Shovels Bar,pub,-122.4172138,37.7822886,0.21,0.33,0.58
node/4004977098,Sugar Lounge,bar,-122.4225489,37.7768319,0.21,0.33,0.58
node/4022691832,Jackalope,bar,-122.4197889,37.7869651,0.21,0.33,0.58
