COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
BN,2051,292,990,720,1061,1286,70345649.926864943930,121682383.25024925,0.01053484602917341977,0.01770538243626062323
BO,87825,3050,41395,31836,46430,55989,127470990.86592656,183497444.45431255,0.19685197396714355343,0.17357960248945994780
BQ,26933,1461,5822,3638,21111,19308,227088042.77280659,250541214.60821058,0.03633037114479874543,0.03138401559454191033
BR,1291932,19168,322575,227360,969357,1046522,235036384.62953159,289370471.33219560,0.08534847909823372114,0.07212209856915739269
BS,84260,5356,26418,11532,57842,53032,211940731.94398291,290312176.44507775,0.08352241550622117424,0.05383865803577643210
BT,74323,1973,43234,37520,31089,36803,67140657.293166314600,104222307.840103332750,0.31860615883306320908,0.32361716419076182889
BV,22,7,19,7,3,0,4826618.181818181818,1123200.000000000000,0.00000000000000000000,
BW,39255,3475,27155,21813,12100,17442,84622096.874283530760,158687421.13870844,0.09417162585744787171,0.10258199581297976274
BY,31310,574,2677,1040,28633,30270,162510160.12775471,235090257.98786330,0.00718046912398276687,0.00210318764377259284
BZ,451953,9908,107769,87515,344184,347800,248786552.88846407,269984822.86344371,0.09691815739401592149,0.08636087966399834918
CA,16243789,130711,973454,545404,15270335,14818493,673423491.25938536,773018730.72749707,0.01097300385115773952,0.00723699046710174582
CC,2032,159,1271,726,761,458,115167883.46456693,125455572.97297297,0.15105740181268882175,0.16792929292929292929
CD,9811,419,1885,1236,7926,8569,123932112.44521456,199128340.23457420,0.01004016064257028112,0.01652154498772047332
CF,2252,75,385,255,1867,1997,70878577.619893428064,149727286.67850799,0.00000000000000000000,0.00049407114624505929
CG,4039,116,968,730,3071,3299,217918490.71552364,242861586.29932986,0.03670003033060357901,0.03203661327231121281
CH,199355,9023,31433,20472,167922,178883,461056303.74758596,557849262.68816935,0.00689774596669456550,0.00475187111784201400
CI,5478,267,1848,1169,3630,4285,201129705.14786418,301228007.92079208,0.02717664821338701560,0.01949058693244739756
CK,1798,332,1566,799,232,155,22209557.285873192436,20079215.094339622642,0.00378071833648393195,0.00387596899224806202
CL,826509,17381,173195,99553,653314,643041,215441294.13327623,292972692.89436758,0.07047673851581991649,0.04716840869953072652
CM,7999,329,4196,3527,3803,4216,108101208.65108139,148786066.79581558,0.07376379239885574172,0.06533818739222073194
CN,339020,8381,122486,79275,216534,223119,177609369.01893694,226257439.80634536,0.05768873977643439138,0.05431914284805900868
