COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AE,2014,5422,176,275,164,5147,3903,1064530958.02286979,1072625132.23506270,0.00267840061220585422,0.00479676849280484726
AE,2015,4907,208,382,213,4525,3622,1004823918.15773385,993844240.52151239,0.00847826086956521739,0.00491937687892866904
AE,2016,5467,236,554,381,4913,3790,953204278.17815987,956759255.43035243,0.00677155945030870345,0.00877872450296927446
AE,2017,5652,271,587,403,5065,3916,898644718.47133758,902609417.36513082,0.01466387354789563893,0.01452486459871984244
AE,2018,6442,299,657,381,5785,4453,880532362.37193418,890601137.27761688,0.02037037037037037037,0.01629955947136563877
AE,2019,9106,367,763,496,8343,6681,915531110.03733802,933552397.26905392,0.01793826441467676179,0.01649635036496350365
AE,2020,9826,250,398,266,9428,6946,1011149320.74089151,996483570.04991681,0.00691171850455545083,0.00612012524907486479
AE,2021,9925,261,604,367,9321,7280,779978938.03526448,769989512.43624951,0.00881010508438594629,0.00680827886710239651
AE,2022,7700,435,1110,567,6590,5569,250093417.55844156,262188389.56975228,0.02905638665132336018,0.01494352736750651607
AE,2023,8983,708,1846,1211,7137,5277,203348820.12690638,215863741.55363748,0.01986319389634306761,0.01501072194424588992
AE,2024,8014,748,1886,1095,6128,5011,217032627.70152234,229412078.87323944,0.01523780206249038018,0.01098054324792910807
AE,2025,5404,598,1459,941,3945,3247,221909670.46632124,236646010.31518625,0.01263710061993323796,0.00849443468072642062
AF,2010,61,13,50,49,11,12,15840944.262295081967,17172354.098360655738,0.00000000000000000000,0.00000000000000000000
AF,2011,36,8,21,18,15,18,32508000.000000000000,52538400.000000000000,0.00000000000000000000,0.00000000000000000000
AF,2012,34,9,11,7,23,27,16276235.294117647059,18908894.117647058824,0.00000000000000000000,0.00000000000000000000
AF,2013,425,12,11,11,414,414,29797835.294117647059,30496557.176470588235,0.00000000000000000000,0.00000000000000000000
AF,2014,199,9,7,7,192,192,31671895.477386934673,32389579.899497487437,0.00000000000000000000,0.00000000000000000000
AF,2015,13,5,3,3,10,10,10793353.846153846154,10793353.846153846154,0.00000000000000000000,0.00000000000000000000
AF,2016,87,7,12,8,75,79,57883034.482758620690,58677517.241379310345,0.00000000000000000000,0.00000000000000000000
AF,2017,189,11,7,5,182,184,50770285.714285714286,51204571.428571428571,0.00000000000000000000,0.00000000000000000000
AF,2018,51,8,7,6,44,45,37858447.058823529412,43608282.352941176471,0.00000000000000000000,0.00000000000000000000
AF,2019,28,7,8,8,20,20,140288914.28571429,140288914.28571429,0.00000000000000000000,0.00000000000000000000
AF,2020,27,7,20,18,7,9,6806400.000000000000,8361600.000000000000,0.00000000000000000000,0.10000000000000000000
AF,2021,31,9,17,13,14,18,13224774.193548387097,32851509.677419354839,0.00000000000000000000,0.00000000000000000000
AF,2022,84,6,5,5,79,79,53442514.285714285714,53442514.285714285714,0.00000000000000000000,0.00000000000000000000
