COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AI,2010,50,4,2,1,48,36,328852224.00000000,553490075.67567568,0.00000000000000000000,0.00000000000000000000
AI,2011,23,9,20,0,3,7,38504347.826086956522,97928228.571428571429,0.00000000000000000000,0.00000000000000000000
AI,2012,16,4,1,0,15,6,563328000.00000000,563918400.00000000,0.00000000000000000000,0.00000000000000000000
AI,2013,44,15,28,7,16,23,138027927.27272727,352946880.00000000,0.00000000000000000000,0.00000000000000000000
AI,2014,33,7,4,0,29,19,261179345.45454545,231406484.21052632,0.00000000000000000000,0.00000000000000000000
AI,2015,44,8,5,2,39,29,271382400.00000000,239461780.64516129,0.00000000000000000000,0.00000000000000000000
AI,2016,55,11,16,8,39,26,242732160.00000000,223560000.00000000,0.02500000000000000000,0.00000000000000000000
AI,2017,115,17,29,10,86,51,269997746.08695652,287010885.24590164,0.06521739130434782609,0.07272727272727272727
AI,2018,991,18,20,11,971,290,356907501.91725530,345689844.51827243,0.00410256410256410256,0.00684931506849315068
AI,2019,339,24,79,67,260,133,347204389.38053097,296593056.00000000,0.01661129568106312292,0.01183431952662721893
AI,2020,298,13,19,13,279,158,454602008.05369128,450252126.31578947,0.04778156996587030717,0.05952380952380952381
AI,2021,501,19,29,16,472,266,402338586.82634731,343219710.63829787,0.00613496932515337423,0.00361010830324909747
AI,2022,533,31,51,18,482,336,335046231.89493433,355745166.10169492,0.02822580645161290323,0.01754385964912280702
AI,2023,675,40,139,106,536,382,296438400.00000000,301385508.19672131,0.03249097472924187726,0.02798982188295165394
AI,2024,759,51,221,125,538,466,272583007.11462451,302175886.29441624,0.09547738693467336683,0.09161793372319688109
AI,2025,626,41,157,82,469,352,279661065.81469649,280887395.39170507,0.01844262295081967213,0.01400560224089635854
AL,2010,12,5,5,5,7,7,274068000.00000000,549151200.00000000,0.00000000000000000000,0.00000000000000000000
AL,2011,9,4,7,7,2,0,20121600.000000000000,148114.285714285714,0.00000000000000000000,
AL,2012,5,3,3,0,2,4,122256000.00000000,309355200.00000000,0.00000000000000000000,0.00000000000000000000
AL,2013,15,6,7,6,8,9,520634880.00000000,676892160.00000000,0.00000000000000000000,0.00000000000000000000
AL,2014,28,9,17,10,11,17,376466400.00000000,610150400.00000000,0.00000000000000000000,0.00000000000000000000
AL,2015,29,10,27,23,2,2,15879724.137931034483,65729664.000000000000,0.00000000000000000000,0.00000000000000000000
AL,2016,24,10,20,13,4,10,15854400.000000000000,65254539.130434782609,0.00000000000000000000,0.00000000000000000000
AL,2017,117,24,96,42,21,60,33416861.538461538462,166731670.58823529,0.02777777777777777778,0.00000000000000000000
AL,2018,148,45,119,80,29,36,35728151.351351351351,71408110.344827586207,0.08064516129032258065,0.01754385964912280702
AL,2019,338,51,136,87,202,199,80889060.355029585799,137856033.56643357,0.08928571428571428571,0.07870370370370370370
AL,2020,439,26,59,41,380,327,98545793.166287015945,153311165.21739130,0.00518134715025906736,0.00000000000000000000
AL,2021,582,59,190,99,392,340,71419249.484536082474,99185231.890660592255,0.01877934272300469484,0.01362397820163487738
AL,2022,610,107,408,276,202,242,53066030.163934426230,110291935.13513514,0.04109589041095890411,0.02295081967213114754
AL,2023,1093,154,678,394,415,504,80004581.884720951510,141398987.97327394,0.09926470588235294118,0.06878306878306878307
AL,2024,1764,227,1265,812,499,696,42589371.428571428571,117056301.32625995,0.09666283084004602992,0.14764397905759162304
AL,2025,1470,161,1123,840,347,432,38115271.836734693878,67471811.320754716981,0.08294930875576036866,0.12006079027355623100
AM,2010,5,3,5,5,0,0,207360.000000000000,207360.000000000000,,
AM,2011,20,2,18,7,2,13,17452800.000000000000,308664000.00000000,0.00000000000000000000,0.00000000000000000000
AM,2012,24,7,8,8,16,16,71006400.000000000000,189720000.00000000,0.00000000000000000000,0.00000000000000000000
AM,2013,32,6,28,6,4,26,17269200.000000000000,356994000.00000000,0.00000000000000000000,0.00000000000000000000
AM,2014,75,10,63,69,12,6,8173440.000000000000,10487808.000000000000,0.00000000000000000000,0.00000000000000000000
AM,2015,46,15,42,25,4,21,14941565.217391304348,55016139.130434782609,0.00000000000000000000,0.00000000000000000000
AM,2016,169,20,127,105,42,64,18432852.071005917160,44813992.899408284024,0.00000000000000000000,0.08474576271186440678
AM,2017,262,19,238,66,24,196,10498259.541984732824,156683432.06106870,0.00000000000000000000,0.01010101010101010101
AM,2018,599,42,446,336,153,263,40418900.834724540902,73367158.597662771285,0.01013513513513513514,0.01741293532338308458
AM,2019,682,47,549,446,133,236,31616572.434017595308,72181245.747800586510,0.10625000000000000000,0.17457305502846299810
AM,2020,66,10,15,7,51,59,119874763.63636364,134282618.18181818,0.07272727272727272727,0.06349206349206349206
AM,2021,181,22,50,44,131,137,85091111.602209944751,100824026.51933702,0.00000000000000000000,0.00000000000000000000
AM,2022,1024,82,537,468,487,556,44635218.750000000000,64936096.875000000000,0.16666666666666666667,0.12955465587044534413
AM,2023,2058,138,1110,926,948,1132,31866906.122448979592,65396781.341107871720,0.09604519774011299435,0.11875367430922986479
AM,2024,3579,159,1106,885,2473,2694,45455476.948868398994,98372978.373847443420,0.09881154499151103565,0.05802835476425980877
AM,2025,3200,133,1758,1280,1442,1920,28968381.000000000000,53036478.000000000000,0.06951385733757383008,0.06176598521096128752
AO,2010,35,8,17,10,18,25,77913051.428571428571,137454994.28571429,0.00000000000000000000,0.00000000000000000000
AO,2011,20,3,18,16,2,3,34637760.000000000000,58160842.105263157895,0.00000000000000000000,0.00000000000000000000
AO,2012,36,7,30,23,6,7,68652000.000000000000,97266240.000000000000,0.00000000000000000000,0.00000000000000000000
