COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
PH,119445,3300,37590,27372,81855,82115,200550636.93582821,250559500.47768228,0.08880844645550527903,0.07265029279184395669
PK,18331,551,2703,2101,15628,15933,213095883.47607877,227270054.51924143,0.01885211562630917470,0.01367501040489922112
PL,307944,5763,38583,19098,269361,275049,325248462.94131401,400518496.73530582,0.01431819074028472215,0.01112176892822376186
PM,7587,167,518,,7069,,680446576.51245552,,0.00055279159756771697,
PN,382,64,300,134,82,62,35872737.172774869110,36107706.122448979592,0.04046242774566473988,0.04545454545454545455
PR,255656,9879,78957,66571,176699,165722,384178187.70222486,379101516.03362994,0.07613966800228963938,0.07260222197909310629
PS,20101,1471,2064,1859,18037,18240,306165588.89607482,317426726.34459426,0.01398676636720641239,0.01493492639214849584
PT,964995,13201,104125,62514,860870,778846,452357402.54985777,498098756.63402111,0.01860029977768165220,0.01393668487850294201
PW,13276,268,1883,700,11393,3001,350228127.02621271,259516932.28857066,0.00238785604639263176,0.00324149108589951378
PY,56712,1445,10475,5980,46237,50732,256440916.12357173,370765307.15192552,0.07223350837517727778,0.04379170748840046583
QA,10575,1278,2236,674,8339,6598,170482461.957446808511,239799089.10891089,0.01038338658146964856,0.00713754646840148699
RE,2324,319,1487,1134,837,846,33909471.944922547332,46038981.818181818182,0.02845528455284552846,0.01582278481012658228
RO,68856,2087,19290,14280,49566,53826,229762387.17323109,276459922.96713946,0.01561918928969877278,0.01843805049911920141
RS,81549,1129,4784,2759,76765,78790,499185081.38174594,475861234.56572122,0.00642691623244440461,0.00432889569243509793
RU,122259,4229,35384,22791,86875,91745,132413323.19093073,189371578.99001187,0.05486569439707917912,0.04580589463539993575
RW,22777,1355,8838,7411,13939,15366,99522292.558282477938,135193657.46147429,0.07527624309392265193,0.06638232720909886264
SA,23402,817,9472,6278,13930,14498,76585651.140928125801,213938900.88563727,0.10287632792142713971,0.13078556263269639066
SB,4387,293,3511,1087,876,1358,38958581.262821974014,111837573.49693252,0.16999535531816070599,0.09337860780984719864
SC,6538,642,4776,2207,1762,734,52852220.006118078923,62779955.661339680381,0.03286004056795131846,0.04778761061946902655
SD,850,85,289,145,561,681,57214588.235294117647,98126969.491525423729,0.00176056338028169014,0.00145348837209302326
SE,360750,7143,45637,24275,315113,295803,574775645.77796258,687903813.73540200,0.00978352458137361543,0.00922999533370619558
SG,117096,5859,16374,11036,100722,84149,313105271.08013937,346885444.28638966,0.01460898089961570370,0.01391046218632425529
SH,1958,171,1814,632,144,61,11623800.612870275792,10926794.805194805195,0.00185873605947955390,0.00000000000000000000
SI,40793,2205,9067,6824,31726,32928,300089708.09697742,305970453.04890320,0.01493152702105728170,0.01071780314002664967
SJ,12381,960,8364,2341,4017,1805,59324245.602132299491,88126124.457308248915,0.09611539560125678378,0.10779985283296541575
SK,59830,2002,6246,3813,53584,56017,244506028.68126358,285965053.51830186,0.00876730269021590847,0.00467273240231344336
SL,2020,160,1498,1128,522,754,33227729.108910891089,63993431.668437832094,0.00000000000000000000,0.05964585274930102516
SM,320,171,289,187,31,133,15378120.000000000000,142515990.00000000,0.01052631578947368421,0.02873563218390804598
SN,33059,977,21104,16855,11955,15418,144588961.26319610,237093652.57645710,0.14182371977917380544,0.17768306573097696293
SO,1518,85,958,784,560,721,61591019.762845849802,158450022.05980066,0.01008827238335435057,0.00944386149003147954
SR,10445,423,6613,5313,3832,4613,76652293.269506941120,133802812.49244409,0.23807599029911075182,0.20410833442365563260
SS,959,90,243,127,716,832,62083850.677789363921,106874277.37226277,0.00816326530612244898,0.00942285041224970554
ST,4034,238,2763,2399,1271,1147,78793887.159147248389,79868393.908629441624,0.06659184436962214740,0.06314063140631406314
SV,96144,1811,6595,4511,89549,89903,349385087.26909636,356611807.84205732,0.01977609511618320279,0.01420290171504677897
SX,4366,1044,2303,1268,2063,2149,84561219.606046724691,141299702.89727831,0.14108187134502923977,0.11669865642994241843
SY,215,78,173,102,42,106,35085231.627906976744,102590446.15384615,0.15662650602409638554,0.15789473684210526316
SZ,3767,532,2061,1650,1706,2117,77510777.170161932572,126871530.66100345,0.11660329531051964512,0.12651515151515151515
TC,9553,1162,4450,2363,5103,3988,97599124.044802679786,124906783.56164384,0.04510691431247073513,0.03365079365079365079
TD,1917,81,786,412,1131,1505,73738050.704225352113,134534174.64788732,0.15013227513227513228,0.10094451003541912633
TF,985,46,195,24,790,191,48650655.837563451777,55206786.976744186047,0.00000000000000000000,0.00000000000000000000
TG,1998,121,795,661,1203,1324,216677016.21621622,278849492.79596977,0.03668478260869565217,0.03318442884492661136
TH,401112,9745,150038,123606,251074,261051,239025271.94399569,282164702.08003494,0.10746753441322234807,0.10351016131023538587
TJ,7514,166,2107,1596,5407,5918,62700608.783603939313,77255363.747671014107,0.03937128032962002136,0.04455659697188175919
TK,24,7,24,,0,,702000.000000000000,,0.00000000000000000000,
TL,6301,108,857,472,5444,3984,345962424.75797492,410109117.41472172,0.04459482908207530800,0.03959923664122137405
TM,602,72,317,240,285,362,52781645.182724252492,84170679.069767441860,0.01818181818181818182,0.00997506234413965087
TN,7460,511,4696,2953,2764,4256,89243891.903485254692,176208407.49063670,0.13537617196432654928,0.09342429410649990525
TO,1012,160,949,368,63,45,5385571.541501976285,16398636.319612590799,0.01769911504424778761,0.00000000000000000000
TR,206092,7123,46842,31411,159250,158748,205543606.97940726,245993178.49168328,0.03998584975636475676,0.03147160765002155185
TT,61258,2582,34990,30755,26268,25358,143885915.17842568,148143378.85338513,0.15448020878642888212,0.15876848777543012375
TV,125,14,125,6,0,0,470016.000000000000,576000.000000000000,0.00000000000000000000,
TW,1363062,11141,90081,57855,1272981,1081229,303256065.63340479,344095930.38897921,0.02747505083496236853,0.01921534566222855211
TZ,103508,4682,64716,55671,38792,45685,79901829.021911349847,114181066.87714590,0.15128801457626616499,0.16048212542617454412
UA,72546,1236,6033,3513,66513,68376,270772811.11570590,362205999.71622919,0.00538879486951100027,0.00257608173601711566
UG,116142,3167,62797,53441,53345,62701,99833622.152193005114,132804857.36426099,0.17685797023669763750,0.15971059935170865024
UM,5038,217,987,704,4051,3392,192980591.02818579,214215257.81250000,0.01159420289855072464,0.00636758321273516643
US,87648216,760463,7674557,4305858,79973659,78960814,477952570.43780560,549975506.55069294,0.01820528080847076593,0.01208620241156063646
UY,106133,2712,17146,10735,88987,90608,250162548.44016470,322806951.41055623,0.07529626986440439454,0.05198484801823165286
UZ,8979,494,6652,5945,2327,3034,25557531.840962245239,43449567.925158703642,0.11243412063244192856,0.09978880675818373812
VA,1274,1033,1067,913,207,361,42747586.813186813187,84011996.232339089482,0.04978354978354978355,0.04599659284497444634
VC,6776,596,2718,1796,4058,4086,133917347.81582054,189310904.86229174,0.16062557497700091996,0.12425918609245357566
VE,340147,2685,24887,17788,315260,313675,274483581.54797779,325258558.42733578,0.03567020040662213186,0.02771643926870790259
VG,4998,882,2581,786,2417,993,112030547.89915966,129949048.22934233,0.06727732154137713203,0.07615062761506276151
VI,25165,2861,9596,7055,15569,12420,263140581.60143056,271188220.71373556,0.02111872146118721461,0.02122149485648514495
VN,56216,3044,37910,31517,18306,22480,79711514.045823253166,116640080.00444469,0.15554134201651354809,0.15639627732804669861
VU,7164,373,2373,1161,4791,4490,192438452.26130653,293009293.93027783,0.03736654804270462633,0.03383146533831465338
WF,195,28,132,16,63,22,39414793.846153846154,113572800.00000000,0.00000000000000000000,0.00000000000000000000
WS,2602,244,1609,1131,993,924,66591322.367409684858,87032044.379562043796,0.01192145862552594670,0.01156069364161849711
XK,2047,149,540,388,1507,1659,100678961.21152907,150815315.29066927,0.00648088139987038237,0.00595238095238095238
XX,19032,2109,17682,1,1350,0,9350144.262295081967,604800.000000000000,0.07332038040699458022,0.00000000000000000000
YE,1312,117,912,714,400,323,35931073.170731707317,67691775.506268081003,0.00129032258064516129,0.00149476831091180867
YT,901,56,192,113,709,536,63128960.710321864595,64176029.583975346687,0.01705237515225334957,0.01497504159733777038
ZA,493144,11856,222283,173179,270861,296409,156773186.32123680,207554389.69649991,0.11022909194209116420,0.10703942652329749104
ZM,41205,2143,15814,10239,25391,30966,110519034.408445576993,168403878.67491809,0.07239240861354358191,0.06469745088670919873
ZW,37506,2621,14255,9745,23251,27761,124731180.54711246,202602554.21532555,0.04311518887534943732,0.03616630704325142507
